,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
179,Montana,2013,24.0,24.0,14.0,25.0,87.0,40.0,0.0,77.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
180,Nebraska,2013,23.0,24.0,13.0,25.0,90.0,37.0,39.0,72.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
181,Nevada,2013,19.0,17.0,9.0,23.0,74.0,34.0,37.0,66.0,43.0,0.0,32.0,35.0,60.0,22.0,0.0,9.6
182,New Hampshire,2013,24.0,20.0,13.0,27.0,84.0,38.0,0.0,63.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
183,New Jersey,2013,20.0,18.0,10.0,28.0,82.0,34.0,39.0,66.0,45.0,42.0,38.0,27.0,74.0,24.0,6.0,9.2
184,New Mexico,2013,24.0,20.0,13.0,26.0,93.0,45.0,0.0,83.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7
185,New York,2013,18.0,17.0,9.0,24.0,74.0,31.0,34.0,62.0,40.0,33.0,33.0,27.0,61.0,20.0,5.0,10.6
186,North Carolina,2013,21.0,20.0,12.0,27.0,82.0,37.0,40.0,66.0,52.0,43.0,41.0,31.0,76.0,21.0,7.0,11.4
187,North Dakota,2013,24.0,23.0,11.0,21.0,89.0,45.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9
188,Ohio,2013,24.0,23.0,13.0,26.0,87.0,39.0,42.0,79.0,52.0,44.0,47.0,38.0,88.0,24.0,6.0,10.4
189,Oklahoma,2013,23.0,22.0,11.0,23.0,87.0,38.0,39.0,69.0,49.0,44.0,41.0,42.0,89.0,24.0,0.0,11.0
190,Oregon,2013,14.0,14.0,8.0,16.0,64.0,26.0,29.0,45.0,33.0,27.0,26.0,23.0,54.0,15.0,3.0,9.2
191,Pennsylvania,2013,22.0,22.0,12.0,27.0,87.0,35.0,39.0,82.0,47.0,44.0,43.0,38.0,85.0,26.0,8.0,10.1
192,Rhode Island,2013,20.0,19.0,10.0,23.0,82.0,37.0,0.0,65.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3
193,South Carolina,2013,21.0,21.0,12.0,26.0,87.0,43.0,46.0,76.0,58.0,47.0,45.0,35.0,88.0,25.0,0.0,12.5
194,South Dakota,2013,28.0,25.0,14.0,24.0,100.0,40.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
195,Tennessee,2013,21.0,25.0,12.0,27.0,92.0,39.0,40.0,86.0,53.0,46.0,40.0,47.0,87.0,24.0,9.0,12.2
196,Texas,2013,18.0,18.0,9.0,23.0,79.0,32.0,36.0,66.0,43.0,37.0,37.0,35.0,70.0,19.0,6.0,11.0
197,Utah,2013,20.0,21.0,10.0,21.0,83.0,38.0,39.0,56.0,47.0,42.0,38.0,32.0,71.0,20.0,0.0,7.1
198,Vermont,2013,23.0,19.0,11.0,23.0,74.0,30.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
199,Virginia,2013,20.0,18.0,11.0,27.0,83.0,35.0,38.0,65.0,47.0,40.0,37.0,30.0,75.0,23.0,6.0,9.8
200,Washington,2013,20.0,18.0,9.0,22.0,75.0,36.0,40.0,57.0,47.0,34.0,38.0,26.0,78.0,18.0,6.0,8.6
201,West Virginia,2013,24.0,27.0,14.0,28.0,100.0,52.0,0.0,99.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
202,Wisconsin,2013,22.0,21.0,11.0,25.0,83.0,40.0,41.0,65.0,52.0,38.0,47.0,35.0,80.0,19.0,6.0,8.2
203,Wyoming,2013,21.0,23.0,10.0,23.0,89.0,37.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
204,Alabama,2012,21.0,22.0,12.0,27.0,93.0,46.0,47.0,75.0,58.0,46.0,40.0,35.0,76.0,26.0,5.0,12.3
205,Alaska,2012,18.0,15.0,11.0,18.0,86.0,36.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
206,Arizona,2012,21.0,21.0,12.0,24.0,84.0,35.0,36.0,73.0,46.0,39.0,34.0,32.0,68.0,19.0,5.0,10.6
207,Arkansas,2012,23.0,21.0,14.0,26.0,94.0,38.0,43.0,72.0,51.0,46.0,41.0,39.0,87.0,21.0,0.0,11.3
208,California,2012,18.0,16.0,9.0,22.0,70.0,29.0,32.0,53.0,37.0,29.0,29.0,24.0,54.0,16.0,4.0,9.8
209,Colorado,2012,17.0,17.0,10.0,22.0,69.0,28.0,28.0,55.0,36.0,31.0,26.0,22.0,62.0,16.0,4.0,7.4
210,Connecticut,2012,20.0,18.0,12.0,27.0,79.0,30.0,33.0,61.0,40.0,38.0,30.0,26.0,57.0,17.0,6.0,9.2
211,Delaware,2012,23.0,19.0,13.0,29.0,89.0,39.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6
212,District of Columbia,2012,16.0,13.0,10.0,22.0,74.0,26.0,29.0,58.0,35.0,31.0,27.0,29.0,50.0,14.0,0.0,8.2
213,Florida,2012,18.0,19.0,11.0,24.0,76.0,29.0,32.0,65.0,40.0,33.0,32.0,28.0,57.0,20.0,5.0,11.4
214,Georgia,2012,17.0,17.0,10.0,23.0,74.0,30.0,32.0,58.0,40.0,35.0,32.0,22.0,56.0,16.0,4.0,9.9
215,Hawaii,2012,19.0,16.0,11.0,22.0,81.0,29.0,0.0,61.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
216,Idaho,2012,20.0,25.0,14.0,26.0,92.0,38.0,0.0,68.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
217,Illinois,2012,17.0,17.0,10.0,22.0,75.0,29.0,31.0,57.0,39.0,33.0,30.0,25.0,55.0,15.0,4.0,9.4
218,Indiana,2012,26.0,26.0,15.0,26.0,91.0,42.0,46.0,73.0,54.0,49.0,47.0,30.0,81.0,17.0,7.0,10.9
219,Iowa,2012,22.0,22.0,14.0,25.0,85.0,37.0,42.0,67.0,50.0,36.0,40.0,35.0,73.0,19.0,0.0,9.7
220,Kansas,2012,22.0,20.0,11.0,24.0,82.0,32.0,36.0,59.0,42.0,41.0,53.0,28.0,100.0,21.0,4.0,9.4
221,Kentucky,2012,20.0,24.0,13.0,25.0,93.0,40.0,41.0,70.0,51.0,45.0,37.0,36.0,72.0,20.0,4.0,10.7
222,Louisiana,2012,19.0,22.0,10.0,22.0,85.0,31.0,36.0,72.0,43.0,39.0,36.0,36.0,61.0,17.0,4.0,12.3
223,Maine,2012,22.0,20.0,14.0,24.0,88.0,37.0,37.0,64.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7
224,Maryland,2012,23.0,20.0,13.0,27.0,88.0,31.0,33.0,69.0,42.0,40.0,38.0,29.0,73.0,16.0,8.0,10.2
225,Massachusetts,2012,20.0,19.0,10.0,23.0,80.0,28.0,31.0,60.0,39.0,37.0,34.0,30.0,57.0,17.0,5.0,8.3
226,Michigan,2012,18.0,19.0,11.0,22.0,77.0,30.0,33.0,65.0,41.0,36.0,30.0,29.0,64.0,17.0,4.0,10.5
227,Minnesota,2012,23.0,20.0,13.0,24.0,82.0,30.0,32.0,63.0,41.0,38.0,40.0,29.0,70.0,19.0,7.0,7.3
228,Mississippi,2012,23.0,23.0,14.0,27.0,98.0,36.0,0.0,88.0,48.0,0.0,48.0,41.0,95.0,24.0,0.0,12.5
229,Missouri,2012,21.0,21.0,12.0,24.0,83.0,31.0,33.0,63.0,43.0,36.0,40.0,36.0,72.0,21.0,6.0,10.7
230,Montana,2012,21.0,17.0,10.0,23.0,85.0,35.0,0.0,60.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
231,Nebraska,2012,22.0,21.0,11.0,25.0,89.0,34.0,36.0,69.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1
232,Nevada,2012,17.0,16.0,10.0,23.0,76.0,26.0,29.0,55.0,37.0,0.0,28.0,26.0,57.0,14.0,0.0,8.9
233,New Hampshire,2012,22.0,18.0,13.0,25.0,83.0,28.0,0.0,56.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
234,New Jersey,2012,20.0,18.0,10.0,27.0,82.0,32.0,34.0,59.0,41.0,39.0,35.0,22.0,62.0,18.0,5.0,9.3
235,New Mexico,2012,23.0,23.0,14.0,24.0,92.0,41.0,0.0,75.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3
236,New York,2012,16.0,16.0,10.0,22.0,71.0,25.0,28.0,56.0,34.0,31.0,27.0,23.0,51.0,16.0,4.0,9.7
237,North Carolina,2012,19.0,19.0,13.0,25.0,85.0,34.0,36.0,65.0,44.0,38.0,33.0,29.0,64.0,17.0,5.0,10.4
238,North Dakota,2012,25.0,28.0,13.0,23.0,96.0,46.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
239,Ohio,2012,22.0,22.0,12.0,26.0,86.0,35.0,37.0,73.0,45.0,40.0,41.0,33.0,75.0,21.0,5.0,11.7
240,Oklahoma,2012,22.0,22.0,11.0,25.0,87.0,39.0,41.0,65.0,50.0,40.0,46.0,36.0,83.0,20.0,0.0,11.5
241,Oregon,2012,21.0,19.0,12.0,24.0,82.0,31.0,34.0,65.0,42.0,37.0,35.0,31.0,72.0,14.0,3.0,9.9
242,Pennsylvania,2012,22.0,21.0,13.0,26.0,84.0,32.0,35.0,73.0,43.0,39.0,40.0,32.0,67.0,23.0,5.0,10.2
243,Rhode Island,2012,20.0,19.0,12.0,24.0,84.0,36.0,0.0,68.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8
244,South Carolina,2012,19.0,18.0,12.0,26.0,86.0,38.0,38.0,67.0,51.0,45.0,35.0,32.0,67.0,20.0,0.0,11.6
245,South Dakota,2012,27.0,26.0,14.0,27.0,100.0,43.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
246,Tennessee,2012,22.0,25.0,13.0,28.0,92.0,36.0,39.0,83.0,50.0,42.0,43.0,38.0,68.0,17.0,7.0,11.9
247,Texas,2012,18.0,17.0,9.0,22.0,79.0,30.0,33.0,59.0,40.0,34.0,31.0,31.0,56.0,17.0,4.0,10.6
248,Utah,2012,21.0,20.0,9.0,20.0,81.0,33.0,35.0,56.0,44.0,39.0,32.0,27.0,59.0,13.0,0.0,7.2
249,Vermont,2012,23.0,17.0,12.0,21.0,77.0,36.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
250,Virginia,2012,21.0,17.0,12.0,27.0,86.0,31.0,34.0,58.0,44.0,37.0,37.0,24.0,66.0,19.0,6.0,10.6
251,Washington,2012,19.0,17.0,10.0,21.0,73.0,31.0,32.0,53.0,39.0,29.0,32.0,23.0,64.0,16.0,3.0,8.8
252,West Virginia,2012,27.0,28.0,14.0,29.0,99.0,33.0,0.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
253,Wisconsin,2012,21.0,20.0,12.0,24.0,80.0,35.0,36.0,65.0,45.0,38.0,37.0,29.0,69.0,17.0,6.0,8.3
254,Wyoming,2012,19.0,18.0,11.0,24.0,83.0,42.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
255,Alabama,2011,19.0,20.0,12.0,26.0,89.0,31.0,33.0,80.0,40.0,48.0,46.0,39.0,80.0,28.0,6.0,11.8
256,Alaska,2011,15.0,15.0,10.0,21.0,82.0,35.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
257,Arizona,2011,20.0,20.0,11.0,24.0,85.0,31.0,31.0,71.0,42.0,39.0,43.0,44.0,90.0,23.0,5.0,9.5
258,Arkansas,2011,21.0,20.0,12.0,27.0,93.0,34.0,38.0,72.0,47.0,50.0,43.0,35.0,77.0,26.0,0.0,11.2
259,California,2011,18.0,15.0,9.0,22.0,69.0,25.0,28.0,53.0,32.0,29.0,36.0,27.0,66.0,17.0,5.0,8.9
260,Colorado,2011,17.0,16.0,10.0,23.0,70.0,28.0,31.0,52.0,36.0,31.0,33.0,25.0,68.0,20.0,5.0,6.7
261,Connecticut,2011,20.0,19.0,11.0,24.0,81.0,32.0,30.0,70.0,41.0,40.0,51.0,37.0,80.0,19.0,5.0,9.3
262,Delaware,2011,21.0,20.0,13.0,25.0,87.0,31.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7
263,District of Columbia,2011,15.0,13.0,9.0,22.0,73.0,21.0,22.0,57.0,33.0,30.0,35.0,34.0,57.0,19.0,0.0,9.1
264,Florida,2011,18.0,17.0,11.0,26.0,76.0,26.0,29.0,65.0,36.0,35.0,40.0,33.0,79.0,24.0,4.0,10.4
265,Georgia,2011,17.0,17.0,10.0,24.0,76.0,26.0,28.0,64.0,37.0,37.0,39.0,32.0,76.0,17.0,6.0,10.2
266,Hawaii,2011,20.0,15.0,12.0,24.0,83.0,28.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
267,Idaho,2011,21.0,21.0,11.0,24.0,86.0,36.0,0.0,65.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4
268,Illinois,2011,18.0,17.0,10.0,23.0,74.0,25.0,29.0,60.0,37.0,33.0,40.0,33.0,72.0,22.0,6.0,9.7
269,Indiana,2011,24.0,25.0,13.0,26.0,94.0,36.0,39.0,70.0,48.0,44.0,54.0,42.0,99.0,23.0,9.0,10.2
270,Iowa,2011,19.0,20.0,14.0,27.0,85.0,33.0,34.0,64.0,44.0,38.0,46.0,45.0,80.0,22.0,0.0,8.2
271,Kansas,2011,20.0,20.0,11.0,25.0,77.0,29.0,34.0,59.0,42.0,43.0,49.0,38.0,82.0,25.0,6.0,9.5
272,Kentucky,2011,20.0,24.0,13.0,26.0,91.0,29.0,32.0,79.0,42.0,45.0,50.0,48.0,84.0,21.0,6.0,10.8
273,Louisiana,2011,20.0,23.0,11.0,26.0,85.0,31.0,31.0,78.0,41.0,42.0,44.0,46.0,77.0,25.0,8.0,11.8
274,Maine,2011,21.0,24.0,13.0,25.0,86.0,32.0,34.0,66.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6
275,Maryland,2011,20.0,19.0,12.0,25.0,91.0,31.0,32.0,73.0,41.0,40.0,41.0,39.0,77.0,23.0,9.0,9.5
276,Massachusetts,2011,19.0,19.0,11.0,25.0,83.0,27.0,29.0,63.0,36.0,38.0,35.0,34.0,65.0,20.0,6.0,8.0
277,Michigan,2011,19.0,20.0,11.0,23.0,75.0,29.0,30.0,68.0,38.0,40.0,39.0,38.0,82.0,22.0,7.0,10.0
278,Minnesota,2011,22.0,19.0,11.0,24.0,82.0,29.0,30.0,68.0,40.0,41.0,52.0,38.0,86.0,20.0,7.0,7.3
279,Mississippi,2011,21.0,22.0,13.0,29.0,97.0,35.0,0.0,87.0,51.0,0.0,57.0,50.0,87.0,23.0,0.0,12.4
280,Missouri,2011,20.0,21.0,13.0,26.0,84.0,31.0,33.0,68.0,46.0,43.0,45.0,43.0,84.0,21.0,8.0,10.2
281,Montana,2011,19.0,19.0,13.0,24.0,88.0,31.0,0.0,62.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
282,Nebraska,2011,22.0,23.0,12.0,27.0,90.0,27.0,28.0,77.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
283,Nevada,2011,16.0,16.0,10.0,24.0,69.0,22.0,28.0,57.0,33.0,0.0,35.0,37.0,59.0,19.0,0.0,10.3
284,New Hampshire,2011,21.0,20.0,10.0,24.0,84.0,34.0,0.0,60.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
285,New Jersey,2011,18.0,18.0,10.0,26.0,81.0,28.0,31.0,63.0,37.0,37.0,40.0,29.0,75.0,21.0,5.0,8.8
286,New Mexico,2011,25.0,22.0,12.0,24.0,100.0,32.0,0.0,72.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
287,New York,2011,16.0,15.0,9.0,22.0,67.0,23.0,25.0,55.0,33.0,30.0,27.0,28.0,57.0,16.0,4.0,10.5
288,North Carolina,2011,18.0,19.0,12.0,26.0,84.0,28.0,30.0,66.0,41.0,41.0,37.0,29.0,72.0,20.0,7.0,10.9
289,North Dakota,2011,27.0,19.0,14.0,22.0,89.0,29.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2
290,Ohio,2011,21.0,20.0,12.0,26.0,85.0,30.0,33.0,74.0,43.0,45.0,45.0,41.0,79.0,22.0,7.0,10.0
291,Oklahoma,2011,22.0,20.0,13.0,27.0,90.0,29.0,33.0,70.0,42.0,41.0,48.0,44.0,100.0,20.0,0.0,11.1
292,Oregon,2011,18.0,17.0,10.0,25.0,79.0,31.0,33.0,60.0,41.0,37.0,42.0,32.0,80.0,20.0,5.0,9.3
293,Pennsylvania,2011,21.0,20.0,12.0,27.0,84.0,29.0,32.0,72.0,40.0,40.0,45.0,41.0,77.0,24.0,6.0,9.5
294,Rhode Island,2011,19.0,17.0,10.0,26.0,87.0,25.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
295,South Carolina,2011,20.0,19.0,13.0,26.0,84.0,34.0,37.0,68.0,44.0,47.0,54.0,36.0,81.0,25.0,0.0,12.1
296,South Dakota,2011,23.0,25.0,14.0,28.0,95.0,42.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
297,Tennessee,2011,22.0,26.0,13.0,29.0,94.0,33.0,34.0,83.0,46.0,45.0,53.0,46.0,100.0,24.0,8.0,11.2
298,Texas,2011,17.0,17.0,9.0,23.0,75.0,26.0,28.0,59.0,36.0,35.0,37.0,35.0,68.0,18.0,6.0,10.2
299,Utah,2011,19.0,20.0,11.0,23.0,82.0,32.0,33.0,59.0,39.0,39.0,34.0,28.0,74.0,24.0,0.0,6.7
300,Vermont,2011,21.0,20.0,13.0,21.0,76.0,27.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
301,Virginia,2011,19.0,16.0,10.0,24.0,81.0,27.0,30.0,58.0,37.0,38.0,38.0,32.0,72.0,22.0,6.0,10.4
302,Washington,2011,19.0,17.0,10.0,23.0,72.0,29.0,31.0,54.0,39.0,32.0,40.0,28.0,72.0,14.0,6.0,8.9
303,West Virginia,2011,23.0,24.0,15.0,30.0,98.0,30.0,0.0,87.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
304,Wisconsin,2011,22.0,20.0,12.0,26.0,80.0,31.0,33.0,64.0,42.0,41.0,44.0,37.0,87.0,20.0,6.0,8.4
305,Wyoming,2011,22.0,16.0,9.0,21.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2
306,Alabama,2010,15.0,21.0,13.0,24.0,80.0,31.0,31.0,74.0,42.0,34.0,45.0,35.0,76.0,23.0,8.0,13.2
307,Alaska,2010,17.0,14.0,10.0,21.0,78.0,18.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3
308,Arizona,2010,18.0,17.0,11.0,23.0,75.0,24.0,27.0,64.0,34.0,33.0,43.0,32.0,72.0,17.0,5.0,9.0
309,Arkansas,2010,14.0,17.0,11.0,21.0,81.0,28.0,32.0,61.0,39.0,28.0,31.0,35.0,73.0,17.0,0.0,9.6
310,California,2010,11.0,9.0,6.0,14.0,52.0,13.0,17.0,33.0,19.0,16.0,21.0,18.0,42.0,10.0,4.0,8.6
311,Colorado,2010,15.0,15.0,9.0,21.0,66.0,21.0,24.0,52.0,29.0,27.0,42.0,26.0,65.0,15.0,5.0,6.0
312,Connecticut,2010,16.0,16.0,11.0,24.0,73.0,22.0,24.0,58.0,30.0,29.0,46.0,28.0,72.0,16.0,7.0,7.3
313,Delaware,2010,19.0,22.0,16.0,27.0,87.0,26.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
314,District of Columbia,2010,15.0,12.0,9.0,23.0,68.0,20.0,22.0,49.0,29.0,25.0,32.0,26.0,68.0,19.0,0.0,8.3
315,Florida,2010,15.0,15.0,10.0,22.0,67.0,22.0,24.0,54.0,31.0,27.0,34.0,32.0,67.0,18.0,6.0,10.4
316,Georgia,2010,15.0,15.0,10.0,22.0,71.0,22.0,24.0,53.0,31.0,27.0,32.0,27.0,66.0,16.0,7.0,9.7
317,Hawaii,2010,18.0,11.0,10.0,18.0,72.0,30.0,0.0,44.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
318,Idaho,2010,19.0,20.0,9.0,26.0,85.0,24.0,0.0,66.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
319,Illinois,2010,17.0,16.0,10.0,25.0,74.0,23.0,27.0,55.0,33.0,30.0,38.0,33.0,72.0,18.0,5.0,8.7
320,Indiana,2010,22.0,27.0,14.0,27.0,96.0,35.0,37.0,67.0,41.0,40.0,51.0,43.0,100.0,21.0,9.0,9.8
321,Iowa,2010,19.0,18.0,13.0,23.0,84.0,24.0,25.0,62.0,34.0,37.0,32.0,49.0,98.0,24.0,0.0,7.5
322,Kansas,2010,17.0,15.0,10.0,24.0,74.0,27.0,28.0,54.0,36.0,26.0,30.0,35.0,68.0,22.0,4.0,8.4
323,Kentucky,2010,19.0,22.0,11.0,21.0,82.0,24.0,29.0,65.0,36.0,40.0,37.0,42.0,86.0,26.0,11.0,10.0
324,Louisiana,2010,16.0,19.0,11.0,23.0,72.0,19.0,23.0,69.0,29.0,32.0,43.0,35.0,72.0,26.0,8.0,10.3
325,Maine,2010,17.0,17.0,10.0,21.0,68.0,22.0,22.0,47.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
326,Maryland,2010,20.0,19.0,11.0,26.0,83.0,25.0,27.0,68.0,34.0,34.0,37.0,40.0,80.0,15.0,5.0,9.3
327,Massachusetts,2010,16.0,16.0,8.0,22.0,71.0,21.0,24.0,52.0,30.0,26.0,30.0,27.0,63.0,19.0,6.0,7.4
328,Michigan,2010,18.0,18.0,10.0,22.0,71.0,25.0,28.0,62.0,35.0,31.0,47.0,41.0,77.0,21.0,8.0,10.1
329,Minnesota,2010,19.0,21.0,12.0,25.0,78.0,26.0,30.0,59.0,38.0,29.0,51.0,38.0,86.0,19.0,11.0,6.7
330,Mississippi,2010,16.0,16.0,10.0,22.0,77.0,23.0,0.0,56.0,32.0,0.0,38.0,40.0,75.0,22.0,0.0,12.4
331,Missouri,2010,19.0,20.0,13.0,24.0,83.0,28.0,31.0,65.0,40.0,36.0,40.0,35.0,86.0,19.0,6.0,9.4
332,Montana,2010,15.0,21.0,9.0,19.0,82.0,29.0,0.0,66.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
333,Nebraska,2010,18.0,20.0,12.0,28.0,78.0,23.0,26.0,68.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
334,Nevada,2010,14.0,14.0,7.0,22.0,77.0,26.0,30.0,53.0,34.0,0.0,27.0,33.0,64.0,19.0,0.0,8.5
335,New Hampshire,2010,19.0,18.0,10.0,21.0,71.0,22.0,0.0,52.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
336,New Jersey,2010,15.0,16.0,8.0,22.0,67.0,21.0,24.0,47.0,30.0,25.0,35.0,25.0,64.0,16.0,4.0,9.2
337,New Mexico,2010,22.0,23.0,12.0,23.0,100.0,30.0,0.0,87.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
338,New York,2010,14.0,15.0,9.0,21.0,64.0,22.0,24.0,53.0,30.0,27.0,34.0,29.0,61.0,17.0,5.0,8.9
339,North Carolina,2010,17.0,19.0,12.0,25.0,79.0,26.0,28.0,59.0,37.0,34.0,34.0,30.0,73.0,18.0,5.0,9.8
340,North Dakota,2010,21.0,19.0,12.0,25.0,76.0,35.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
341,Ohio,2010,18.0,20.0,11.0,25.0,77.0,26.0,28.0,61.0,35.0,30.0,46.0,36.0,79.0,22.0,7.0,10.1
342,Oklahoma,2010,17.0,17.0,9.0,22.0,75.0,29.0,31.0,49.0,35.0,30.0,42.0,30.0,82.0,13.0,0.0,10.4
343,Oregon,2010,18.0,18.0,10.0,24.0,71.0,23.0,24.0,56.0,33.0,25.0,37.0,27.0,70.0,19.0,5.0,7.2
344,Pennsylvania,2010,19.0,19.0,11.0,24.0,81.0,28.0,30.0,67.0,36.0,33.0,47.0,36.0,78.0,24.0,7.0,10.3
345,Rhode Island,2010,17.0,15.0,8.0,22.0,68.0,23.0,0.0,57.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
346,South Carolina,2010,17.0,17.0,11.0,22.0,77.0,25.0,26.0,53.0,33.0,29.0,35.0,40.0,64.0,16.0,0.0,10.7
347,South Dakota,2010,22.0,23.0,14.0,27.0,80.0,43.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9
348,Tennessee,2010,21.0,24.0,11.0,27.0,87.0,24.0,25.0,77.0,34.0,38.0,43.0,45.0,95.0,21.0,9.0,11.3
349,Texas,2010,15.0,15.0,9.0,21.0,68.0,22.0,24.0,53.0,30.0,29.0,36.0,33.0,66.0,17.0,5.0,9.7
350,Utah,2010,16.0,18.0,10.0,22.0,73.0,28.0,29.0,47.0,33.0,28.0,51.0,35.0,73.0,13.0,0.0,6.5
351,Vermont,2010,12.0,9.0,6.0,14.0,53.0,12.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
352,Virginia,2010,7.0,7.0,4.0,10.0,49.0,10.0,16.0,26.0,15.0,13.0,14.0,14.0,33.0,9.0,3.0,8.7
353,Washington,2010,16.0,16.0,9.0,21.0,67.0,23.0,25.0,47.0,28.0,25.0,36.0,29.0,71.0,18.0,5.0,7.6
354,West Virginia,2010,22.0,20.0,14.0,31.0,97.0,37.0,0.0,72.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7
355,Wisconsin,2010,18.0,19.0,11.0,25.0,77.0,27.0,29.0,65.0,38.0,28.0,46.0,35.0,77.0,22.0,6.0,7.1
356,Wyoming,2010,23.0,20.0,9.0,21.0,70.0,37.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
357,Alabama,2009,19.0,21.0,14.0,31.0,87.0,33.0,39.0,87.0,49.0,45.0,40.0,46.0,89.0,14.0,8.0,12.3
358,Alaska,2009,14.0,17.0,13.0,16.0,72.0,30.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
359,Arizona,2009,17.0,18.0,11.0,26.0,82.0,29.0,31.0,77.0,40.0,30.0,38.0,34.0,70.0,20.0,7.0,8.4
360,Arkansas,2009,15.0,19.0,13.0,27.0,76.0,28.0,30.0,69.0,39.0,30.0,30.0,21.0,76.0,14.0,0.0,10.1
361,California,2009,12.0,11.0,7.0,18.0,63.0,18.0,23.0,48.0,25.0,18.0,23.0,17.0,45.0,10.0,3.0,9.1
362,Colorado,2009,17.0,17.0,10.0,24.0,68.0,24.0,27.0,67.0,35.0,29.0,27.0,19.0,66.0,14.0,5.0,5.8
363,Connecticut,2009,18.0,20.0,12.0,26.0,76.0,30.0,31.0,74.0,39.0,32.0,40.0,23.0,86.0,9.0,3.0,6.7
364,Delaware,2009,24.0,22.0,14.0,33.0,97.0,27.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1
