,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
41,South Dakota,2016,29.0,25.0,13.0,25.0,98.0,58.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.91
42,Tennessee,2016,24.0,26.0,11.0,24.0,87.0,50.0,53.0,87.0,70.0,44.0,37.0,36.0,88.0,23.0,6.0,12.69
43,Texas,2016,21.0,21.0,10.0,21.0,81.0,44.0,49.0,67.0,58.0,39.0,32.0,30.0,73.0,16.0,6.0,11.22
44,Utah,2016,19.0,23.0,10.0,20.0,83.0,48.0,50.0,65.0,60.0,44.0,33.0,25.0,76.0,14.0,0.0,7.24
45,Vermont,2016,27.0,19.0,11.0,20.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
46,Virginia,2016,23.0,22.0,11.0,24.0,85.0,44.0,48.0,74.0,59.0,40.0,36.0,31.0,80.0,18.0,7.0,10.44
47,Washington,2016,23.0,21.0,10.0,20.0,79.0,45.0,48.0,58.0,58.0,34.0,33.0,30.0,79.0,15.0,5.0,9.38
48,West Virginia,2016,31.0,33.0,14.0,26.0,94.0,60.0,0.0,95.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96
49,Wisconsin,2016,24.0,23.0,11.0,22.0,81.0,49.0,53.0,69.0,66.0,44.0,42.0,30.0,84.0,18.0,5.0,9.77
50,Wyoming,2016,27.0,26.0,12.0,20.0,81.0,56.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32
51,Alabama,2015,25.0,21.0,13.0,27.0,90.0,55.0,58.0,90.0,70.0,46.0,37.0,42.0,84.0,26.0,9.0,13.46
52,Alaska,2015,24.0,15.0,11.0,19.0,90.0,45.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64
53,Arizona,2015,24.0,22.0,11.0,24.0,87.0,50.0,56.0,73.0,63.0,40.0,42.0,33.0,80.0,22.0,5.0,10.07
54,Arkansas,2015,22.0,23.0,13.0,23.0,91.0,51.0,55.0,79.0,69.0,47.0,39.0,34.0,84.0,14.0,0.0,12.64
